link;status;tags;sequence;link_id;article_title;article_author;article_excerpt;categories;site_manual;link_type;img_file;post_date_manual;media_type;img_type;img_url;profile_image_url;author_url;post_date;processed_date
https://www.openculture.com/2022/01/read-the-cias-simple-sabotage-field-manual.html;processed;none;2113;L02113;Read the CIA’s Simple Sabotage Field Manual: A Timeless Guide to Subverting Any Organization with “Purposeful Stupidity” (1944);Uncredited;"in History, Politics | January 19th, 2022 4 Comments  example_responsive_1  (adsbygoogle = window.adsbygoogle || []).push({});  I’ve always admired people who can successfully navigate what I refer to as “Kafka’s Castle,” a term of dread for th...";"cia;cautionarytale";https://www.openculture.com;website;img/img-L02113.non;2022-01-19;NA;non;https://cdn8.openculture.com/2022/01/18223141/simple-sabotage.jpeg;NA;NA;2022-01-19;2022-07-28
https://wellcome.org/reports/wellcome-global-monitor/2018;processed;none;2112;L02112;Wellcome Global Monitor 2018;Wellcome Group;The Wellcome Global Monitor is the world’s largest study into how people around the world think and feel about science and major health challenges.  Doctors and nurses are most trusted for health advice. What we know about science – and how we t...;"research;dataset;dataanalysis;example;inspiration";https://wellcome.org;website;img/img-L02112.jpg;2019-06-18;NA;non;https://cms.wellcome.org/sites/default/files/styles/gallery_thumbnail_square_mobile/public/wellcome-global-monitor-engagement-science-1600x1067.jpg?itok=C3DUaMgu;NA;NA;2019-06-18;2022-07-28
https://www.creativebloq.com/news/logo-design-infographic;processed;none;2109;L02109;Are these the 10 commandments of logo design?;Amelia Bamsey;Creative Bloq is supported by its audience. When you purchase through links on our site, we may earn an affiliate commission. Here’s why you can trust us.  By Amelia Bamsey published 13 January 22 Infographic claims to have the answers. We lov...;"design;inspiration";https://www.creativebloq.com;website;img/img-L02109.jpg;2022-01-13;NA;jpg;https://cdn.mos.cms.futurecdn.net/MzgabQxuWDHuqtPmujJYUc-320-80.jpg;NA;NA;2022-01-13;2022-07-28
https://svelte.recipes/components/spiral/;processed;none;2108;L02108;Spiral;Amelia Wattenberger;Create a chart that spirals out from the center — great for showing yearl...;"svelte;method;dataviz";https://svelte.recipes;website;img/img-L02108.non;2022;NA;non;/static/img/article_images/img-l02108.png;NA;NA;2022;2022-07-28
https://flowingdata.com/2022/01/10/a-quick-and-easy-way-to-make-spiral-charts-in-r/;processed;none;2107;L02107;A Quick and Easy Way to Make Spiral Charts in R;Nathan Yau;Now that we’ve discovered another way to annoy chart snobs, here’s how you can make your own spirals. Many people were dismayed by a spiral chart that served as a header image for a New York Times Opinion piece:  The graphic was made by Gus Wez...;"rstats;method;dataviz";https://flowingdata.com;website;img/img-L02107.non;2022;NA;non;https://flowingdata.com/wp-content/uploads/2022/01/spiral-graph-750x797.png;NA;NA;2022;2022-07-28
https://dataviztoday.com/shownotes/71;processed;none;2105;L02105;Episode 71: Demystifying the Freelance Dataviz Process;Alli Torban;Welcome to episode 71 of Data Viz Today. I invited a few of the best dataviz designers and freelancers I know on the show today (Duncan Geere, Gabrielle Merite, and Will Chase) and we absolutely stuffed the hour with as many dataviz freelancing ti...;"dataviz;organization;process";https://dataviztoday.com;website;img/img-L02105.non;2022-01-11;NA;non;https://images.squarespace-cdn.com/content/v1/59b82daff14aa11bc9910930/27fa7aea-3065-4a42-ba4d-957853a6e9fb/Elevate+Headshots.png?format=750w;NA;NA;2022-01-11;2022-07-28
https://80000hours.org/podcast/episodes/max-roser-our-world-in-data/;processed;none;2104;L02104;Max Roser on building the world’s first great source of COVID-19 data at Our World in Data;Robert Wiblin and Keiran Harris;By Robert Wiblin and Keiran Harris · Published June 21st, 2021 By Robert Wiblin and Keiran Harris · Published June 21st, 2021 Enjoyed the episode? Want to listen later? Subscribe by searching 80,000 Hours wherever you get your podcasts, or click...;"dataset;dataviz;process";https://80000hours.org;website;img/img-L02104.jpg;202106-21;NA;jpg;https://80000hours.org/wp-content/uploads/2014/08/UK_Department_for_International_Development_-_Displaced_Ivorians_queue_for_food_at_a_UNHCR_distribution_site_in_Liberia-720x448.jpg;NA;NA;202106-21;2022-07-28
https://twitter.com/YuHelenYu/status/1479722579862638594/photo/1;processed;none;2103;L02103;"Here Are the 145 HTML Elements
#AI #MachineLearning #100DaysOfCode #DataAnalytics #DataScientists   
#IIoT #PyTorch #RStats #javascript #CSharp #flutterdev #Python #TensorFlow #HTML #womeninSTEM #NLP #Maths #SQL #Datavisualization #Jobs #futureofwork 
#programmer #webdesigner https://t.co/gx7if7FaEW";Helen Yu;Here Are the 145 HTML Elements. https://t.co/gx7if7FaEW;"webdesign;dataviz";https://twitter.com;twitter;NA;2022-01-08;photo;jpg;http://pbs.twimg.com/media/FIkHUT0XIAERMtL.jpg;http://pbs.twimg.com/profile_images/1421532831839399944/c-Wl32LB_normal.jpg;https://www.linkedin.com/in/tigonhyu/;2022-01-08;2022-07-23
https://benadam.me/thoughts/my-experience-at-amazon/;processed;none;2102;L02102;I took a job at Amazon, only to leave after 10 months.;Ben Adam;After working at GoDaddy for 5.5 years, I was ready to make a change. Amazon recruited me to work in their devices org, and after joining learned that specifically, I was joining a centralized UX team within the sales and marketing division within...;"process;organization";https://benadam.me;website;img/img-L02102.non;2021-01-29;NA;non;https://benadam.me/winter-building.jpg;NA;NA;2021-01-29;2022-07-28
https://www.gov.uk/government/publications/composition-of-foods-integrated-dataset-cofid;processed;none;2101;L02101;Composition of foods integrated dataset (CoFID);McCance and Widdowson;We use some essential cookies to make this website work. We’d like to set additional cookies to understand how you use GOV.UK, remember your settings and improve government services. We also use cookies set by other sites to help us deliver cont...;"dataset;insipiration;publicdata;uk";https://www.gov.uk;website;img/img-L02101.non;2021-03-21;NA;non;/static/img/article_images/img-l02101.png;NA;NA;2021-03-21;2022-07-28
https://twitter.com/imArun100/status/1451360138997108740/photo/1;processed;none;2098;L02098;"#Python #NumPy basics cheat sheet

#Data #DataScience #AI #ML  #Algorithm #datasets #DataScientists #Analytics #BigData #Rstats #AI #Reactjs #Python #Tech #IIoT #ML #NLP #javascript #pythonlearning #TensorFlow #Coding #Serverless #100DaysOfCode #Dataviz #Mathematics https://t.co/3E14LN0P03";K Arun;Python NumPy basics cheat sheet;"python;tool";https://twitter.com;twitter;NA;2021-10-22;photo;png;http://pbs.twimg.com/media/FCRET4hVkAgVRfT.png;http://pbs.twimg.com/profile_images/1461524382921084932/9ugTJbKd_normal.jpg;NA;2021-10-22;2022-07-23
https://bostonreview.net/articles/rachel-thomas-medicines-machine-learning-problem/;processed;none;2096;L02096;Medicine’s Machine Learning Problem;Rachel Thomas;We are a public forum committed to collective reasoning and the imagination of a more just world. Join today to help us keep the discussion of ideas free and open to everyone, and enjoy member benefits like our quarterly books. Image: Flickr / Ja...;"machinelearning;pitfall;cautionarytale";https://bostonreview.net;website;img/img-L02096.jpg;2021-01-04 ;NA;jpg;https://bostonreview.net/wp-content/uploads/2022/05/Marco-Ramos-BR-150x150.jpg;NA;NA;2021-01-04 ;2022-07-28
https://spectrum.ieee.org/deep-learning-cant-be-trusted;processed;none;2095;L02095;Deep Learning Can’t Be Trusted, Brain Modeling Pioneer Says;Kathy Pretz;IEEE websites place cookies on your device to give you the best user experience. By using our websites, you agree to the placement of these cookies. To learn more, read our Privacy Policy. Stephen Grossberg explains why his ART model is better D...;"mathinelearning;pitfall;cautionarytale";https://spectrum.ieee.org;website;img/img-L02095.jpg;2021-12-30;NA;non;https://spectrum.ieee.org/media-library/photo-of-a-man-in-glasses-and-a-blue-checkered-shirt.jpg?id=28601631&width=1200&height=834;NA;NA;2021-12-30;2022-07-28
https://plotparade.com/gallery_sunrise.html;processed;none;2093;L02093;How long are the nights?; Krisztina Szucs;This data visualization created by Krisztina Szucs shows the sunrise and sunset times around the world. See how the night and daylight areas change during a two year period. To focus on the length of nights the y axis for hours starts at noon. Lo...;"dataviz;inspiration";https://plotparade.com;website;img/img-L02093.jpg;Undated;NA;png;/static/img/article_images/img-l02093.png;NA;NA;Undated;2022-07-28
https://petewarden.com/2021/12/24/why-are-ml-compilers-so-hard/;processed;none;2089;L02089;Pete Warden's blog;Pete Warden;Even before the first version of TensorFlow was released, the XLA project was integrated as a “domain-specific compiler” for its machine learning graphs. Since then there have been a lot of other compilers aimed at ML problems, like TVM, MLIR, EON...;"machinelearning;tensorflow;tool";https://petewarden.com;website;img/img-L02089.non;2021-12-14;NA;non;https://upload.wikimedia.org/wikipedia/commons/0/00/Modern_Loose_Reed_Power_Loom-marsden.png;NA;NA;2021-12-14;2022-07-28
https://luigi.readthedocs.io/en/stable/;processed;none;2086;L02086;Getting Started¶;Gram;Luigi is a Python (2.7, 3.6, 3.7 tested) package that helps you build complex pipelines of batch jobs. It handles dependency resolution, workflow management, visualization, handling failures, command line integration, and much more. Run pip insta...;"python;tool";https://luigi.readthedocs.io;website;img/img-L02086.non;2018-11;NA;non;https://raw.githubusercontent.com/spotify/luigi/master/doc/luigi.png;NA;NA;2018-11;2022-07-28
http://bubbles.databrewery.org/;processed;none;2082;L02082;Bubbles, a data Python framework for data processing and data quality measurement;Stefan Urbanek ;Bubbles is a Python framework for data processing and data quality measurement. Basic concept are abstract data objects, operations and dynamic operation dispatch. Goals: Bubbles is performance agnostic at the low level of physical data implemen...;"python;tool;dataquality;dataprocessing";http://bubbles.databrewery.org;website;img/img-L02082.non;Undated;NA;non;http://bubbles.databrewery.org/theme/img/logo_bubbles.png;NA;NA;Undated;2022-07-28
https://www.hsph.harvard.edu/miguel-hernan/causal-inference-book/;processed;none;2081;L02081;Causal Inference: What If (the book);Miguel A. Hernan & James M. Robins;Jamie Robins and I have written a book that provides a cohesive presentation of concepts of, and methods for, causal inference. Much of this material is currently scattered across journals in several disciplines or confined to technical articles. ...;"book;learning;causality;stats;causalinference";https://www.hsph.harvard.edu;website;img/img-L02081.jpg;2020-12-31;NA;jpg;https://cdn1.sph.harvard.edu/wp-content/uploads/2022/07/cropped-man-smoking_800x600.jpg;NA;NA;2020-12-31;2022-07-28
https://www.techtarget.com/searchenterpriseai/feature/Why-TinyML-use-cases-are-taking-off;processed;none;2080;L02080;Why TinyML use cases are taking off;Lisa Morgan;Getty Images Machine learning is commonly associated with big data, but that's changing quickly. While IoT, edge computing and intelligent edge devices arguably make big data even bigger, not all data at the edge is useful. Therefore, the data ne...;"machinelearning;opinion";https://www.techtarget.com;website;img/img-L02080.jpg;2021-12-21;NA;jpg;https://cdn.ttgtmedia.com/rms/onlineImages/lawton_george.jpg;NA;NA;2021-12-21;2022-07-28
https://www.openculture.com/free_film_noir_movies;processed;none;2078;L02078;60 Free Film Noir Movies;Uncredited; During the 1940s and 50s, Hollywood entered a “noir” period, producing riveting films based on hard-boiled fiction. These films were set in dark locations and shot in a black & white aesthetic that fit like a glove. Hardened men wore fedoras and...;"movies;noir";https://www.openculture.com;website;img/img-L02078.jpg;Undated;NA;jpg;https://cdn8.openculture.com/wp-content/uploads/2014/08/08154654/noir-film-pic.jpg;NA;NA;Undated;2022-07-28
https://nethackchallenge.com/report.html;processed;none;2077;L02077;The NetHack Challenge:Dungeons, Dragons, and Tourists;Eric Hambro et al.;At the start of June, we announced the NetHack Challenge 2021, hosted at NeurIPS 2021, as a partnership between Facebook (now Meta) AI Research, AI Crowd, Oxford, UCL, and NYU. We furthermore were supported by our sponsors, Meta AI, and DeepMind. ...;"machinelearning;contest;learning";https://nethackchallenge.com;website;img/img-L02077.non;2021;NA;non;https://nethackchallenge.com/images/logo.png;NA;NA;2021;2022-07-28
https://javascript.info/;processed;none;2075;L02075;The Modern JavaScript Tutorial;Unknown;We want to make this open-source project available for people all around the world. Help to translate the content of this tutorial to your language! How it's done now. From the basics to advanced topics with simple, but detailed explanations. M...;"javascript;book;tutorial";https://javascript.info;website;img/img-L02075.non;2022-08-05;NA;non;/static/img/article_images/img-l02075.png;NA;NA;2022-08-05;2022-07-28
https://cacm.acm.org/magazines/2022/1/257448-fifty-years-of-p-vs-np-and-the-possibility-of-the-impossible/fulltext;processed;none;2074;L02074;Communications of the ACM;Lance Fortnow;"On May 4, 1971, computer scientist/mathematician Steve Cook introduced the P vs. NP problem to the world in his paper, ""The Complexity of Theorem Proving Procedures."" More than 50 years later, the world is still trying to solve it. In fact, I addressed the subject 12 years ago in a Communications article, ""The Status of the P versus NP Problem.""";"insight;learning";https://cacm.acm.org;website;img/img-L02074.jpg;2022-01;NA;jpg;https://dl.acm.org/cms/attachment/d96dca57-bc83-4e05-a700-9cfad9238d3d/uf1.jpg;NA;NA;2022-01;2022-07-28
